,var_estimate
2011-09-01,0.050639091378325805
2011-10-01,0.05063909337970868
2011-11-01,0.05063909457113228
2011-12-01,0.05063909447519262
2012-01-01,0.05063909254497717
2012-02-01,0.050639093803819646
2012-03-01,0.0506390931038374
2012-04-01,0.05063909152178837
2012-05-01,0.05063909156131981
2012-06-01,0.050639094939637655
2012-07-01,0.05063909408051205
2012-08-01,0.050639095033568365
2012-09-01,0.05063909493270205
2012-10-01,0.050639090796008354
2012-11-01,0.05063908929206392
2012-12-01,0.05063909351103401
2013-01-01,0.05063909442630676
2013-02-01,0.05063909193972088
2013-03-01,0.050639093640099865
2013-04-01,0.050639094144492004
2013-05-01,0.05063909332635297
2013-06-01,0.050639093377119894
2013-07-01,0.05063909493232044
2013-08-01,0.05090754932802898
2013-09-01,0.05090755021225632
2013-10-01,0.0516641614950238
2013-11-01,0.05166416116403869
2013-12-01,0.04917630141289862
2014-01-01,0.04551692189665286
2014-02-01,0.0410397965184054
2014-03-01,0.04297351780822281
2014-04-01,0.040698923535910876
2014-05-01,0.039389836650093456
2014-06-01,0.03753590819081948
2014-07-01,0.034729397494335366
2014-08-01,0.034505612054906994
2014-09-01,0.03462958412650614
2014-10-01,0.034629584431976196
2014-11-01,0.03462958366756108
2014-12-01,0.03462958366944861
2015-01-01,0.03462958366973258
2015-02-01,0.03462958367059366
2015-03-01,0.037193372062242255
2015-04-01,0.037193372692040906
2015-05-01,0.03719337265566632
2015-06-01,0.03719337274833767
2015-07-01,0.03727064499953998
2015-08-01,0.03227558593235471
2015-09-01,0.03264639121807457
2015-10-01,0.03562477836574626
2015-11-01,0.03671111654942395
2015-12-01,0.037996495781415215
2016-01-01,0.039599919925812896
2016-02-01,0.040792491737893594
2016-03-01,0.04025771039424908
2016-04-01,0.040153761502145044
2016-05-01,0.040153763023159095
2016-06-01,0.04015376303769494
2016-07-01,0.04015376294897309
2016-08-01,0.040153763031935914
2016-09-01,0.040153763047121635
2016-10-01,0.040153763029815076
2016-11-01,0.03595993166073324
2016-12-01,0.03687309719360385
2017-01-01,0.03499708689650519
2017-02-01,0.03507829327555882
2017-03-01,0.03507829451152414
2017-04-01,0.03507829444871786
2017-05-01,0.03507829448670203
2017-06-01,0.03507829449000006
2017-07-01,0.0358702284555725
2017-08-01,0.035971182584152904
2017-09-01,0.03597118525839242
2017-10-01,0.035971182580595104
2017-11-01,0.0359711825906393
2017-12-01,0.035971182628038605
2018-01-01,0.03597118262549281
2018-02-01,0.035971182621916335
2018-03-01,0.035971182623423074
2018-04-01,0.038003447173258736
2018-05-01,0.03871973361936394
2018-06-01,0.03886093867966603
2018-07-01,0.038860939063192636
2018-08-01,0.03886093906263235
2018-09-01,0.038860939060470716
2018-10-01,0.03886093906116151
2018-11-01,0.03886093906001349
2018-12-01,0.042329998423752055
2019-01-01,0.04099588090185352
2019-02-01,0.042983472847849855
2019-03-01,0.04580683788429584
2019-04-01,0.04718109842743112
2019-05-01,0.04718109853485522
2019-06-01,0.0471810985469713
2019-07-01,0.047181098390845895
2019-08-01,0.0471810984220991
2019-09-01,0.047181098461215425
2019-10-01,0.047181098355996626
2019-11-01,0.04718109836531762
2019-12-01,0.047181098375783756
2020-01-01,0.04718109836560276
2020-02-01,0.047181098426103935
2020-03-01,0.04268288759812913
2020-04-01,0.05614525938939523
2020-05-01,0.05790471589712669
2020-06-01,0.05709976585778079
2020-07-01,0.05961972371636471
2020-08-01,0.059619725744272434
2020-09-01,0.059619725937041845
2020-10-01,0.04950835107999044
2020-11-01,0.045606264054322526
2020-12-01,0.04356690850808573
2021-01-01,0.04356690983636922
2021-02-01,0.04356690986608661
2021-03-01,0.04356690980629712
2021-04-01,0.043566909307649254
2021-05-01,0.043566909295070046
2021-06-01,0.04356690882641634
2021-07-01,0.04356690893771838
2021-08-01,0.04356690920685007
2021-09-01,0.043566909414045805
2021-10-01,0.043566908669157044
2021-11-01,0.056023337944301366
2021-12-01,0.05702035982603242
2022-01-01,0.057020360631713694
2022-02-01,0.05702036057300943
2022-03-01,0.05702036080018044
2022-04-01,0.057020360864085566
2022-05-01,0.05702036102783319
2022-06-01,0.05702036083292974
2022-07-01,0.05702036083901036
2022-08-01,0.05430323217813341
2022-09-01,0.05438024064548297
2022-10-01,0.054380240983891964
2022-11-01,0.0591569248518704
2022-12-01,0.062273074489545964
2023-01-01,0.06019597879053555
2023-02-01,0.06019597834688339
2023-03-01,0.06019597835232128
2023-04-01,0.055733043176030936
2023-05-01,0.05274919769828273
2023-06-01,0.05231925927985741
2023-07-01,0.05231926444810812
2023-08-01,0.0523192644318463
2023-09-01,0.05231926444656656
2023-10-01,0.05231926446635366
2023-11-01,0.05231926449070761
2023-12-01,0.05231926449868446
2024-01-01,0.052319264494095116
2024-02-01,0.04506443622142923
2024-03-01,0.04249039706311425
2024-04-01,0.04069235944118599
2024-05-01,0.0408728400816496
2024-06-01,0.04091446340030432
2024-07-01,0.04103807804394987
2024-08-01,0.04103813647664584
2024-09-01,0.041038136659541306
2024-10-01,0.04103813686633176
2024-11-01,0.04103813679704226
2024-12-01,0.04103813656009486
2025-01-01,0.04103813661795313
2025-02-01,0.04267944045533697
2025-03-01,0.04267943688069557
2025-04-01,0.03881210623741225
2025-05-01,0.03866414354374013
2025-06-01,0.03891215398868266
2025-07-01,0.038912153949188386
2025-08-01,0.03930982597545892
2025-09-01,0.039707498308912174
2025-10-01,0.039709521434920354
2025-11-01,0.039709521365873336
2025-12-01,0.039709521461132796
2026-01-01,0.03970952143124731
2026-02-01,0.03970952149081181
2026-03-01,0.03970952143852527
2026-04-01,0.03970952135920498
2026-05-01,0.039709521428882025
2026-06-01,0.03970952146564346
2026-07-01,0.039709521627353625
